command;alias;description;keywords;category;url
azapim;;API Management services;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.ApiManagement%2Fservice?
azasp;;App Service plans;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Web%2FserverFarms
azapps;azweb;App Services;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Web%2Fsites
azappgw;appgw|gateway;Application Gateway;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Network/LoadBalancingHubMenuBlade/~/applicationgateways
azappinsights;appinsights;Application Insights;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/microsoft.insights%2Fcomponents
azautomanage;azam;Automanage;;Azure;https://portal.azure.com/#view/Microsoft_Azure_AutoManagedVirtualMachines/AutomanageMenuBlade
azvmas;;Availability Sets;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Compute%2FavailabilitySets?
az;azure;Azure;;Azure;https://portal.azure.com
azcreate;;Azure - Create a Resource;;Azure;https://portal.azure.com/#create/hub?
azadvisor;;Azure Advisor;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Expert/AdvisorMenuBlade/~/score?
azauto;azautomation;Azure Automation;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Automation%2FAutomationAccounts
azredis;;Azure Cache for Redis;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Cache%2FRedis
azshell;shell;Azure Cloud Shell;;Azure;https://portal.azure.com/#cloudshell/
azcs;;Azure Content Safety;;Azure;https://contentsafety.cognitive.azure.com/
azcosmos;;Azure Cosmos DB;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.DocumentDb%2FdatabaseAccounts
adf;;Azure Data Factory;;Azure;https://adf.azure.com/
azdatabricks;;Azure Databricks;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Databricks%2Fworkspaces?
dev;devops;Azure DevOps Portal;;Azure;https://dev.azure.com
azfwmg;;Azure Firewall Manager;;Azure;https://portal.azure.com/#view/Microsoft_Azure_HybridNetworking/FirewallManagerMenuBlade
azfdcdn;;Azure Front Door and CDN profiles;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/microsoft.cdn%2Fprofiles?
azlogic;;Azure Logic Apps;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Logic%2Fworkflows
azml;;Azure Machine Learning Studio;;Azure;https://ml.azure.com/
azmi;;Azure Managed Identities;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.ManagedIdentity%2FuserAssignedIdentities?
azmg;;Azure Management Groups;;Azure;https://portal.azure.com/#view/Microsoft_Azure_ManagementGroups/ManagementGroupBrowseBlade?
azoai;openai;Azure OpenAI Studio;;Azure;https://oai.azure.com/portal
azpolicy;;Azure Policy;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Policy/PolicyMenuBlade/~/overview
azp;azurepreview;Azure Preview Portal;;Azure;https://preview.portal.azure.com/
azprice;price;Azure Price Calculator;;Azure;https://azure.microsoft.com/pricing/calculator/
arg;arge;Azure Resource Graph Explorer;;Azure;https://portal.azure.com/#view/HubsExtension/ArgQueryBlade?
azpim;;Azure Resources PIM;;Azure;https://portal.azure.com/#view/Microsoft_Azure_PIMCommon/CommonMenuBlade/~/azurerbac
azhealth;;Azure Service Health;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Health/ServiceIssuesBlade?
azsynapse;;Azure Synapse Analytics;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Synapse%2Fworkspaces?
synapse;;Azure Synapse Studio;;Azure;https://web.azuresynapse.net/
